21:38:48.056 [main] INFO  TextHandler - Paragraph: 
21:38:48.063 [main] INFO  TextHandler - Paragraph: It has survived - not only (five) centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the “Динамо” (Рига) with the release of Letraset sheets.toString() containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker Faclon9 including versions of Lorem Ipsum!
21:38:48.063 [main] INFO  ParagraphHandler - Sentence: It has survived - not only (five) centuries, but also the leap into electronic typesetting, remaining essentially unchanged.
21:38:48.064 [main] INFO  SentenceHandler - Lexeme: It
21:38:48.065 [main] INFO  LexemeHandler - Word: It
21:38:48.065 [main] INFO  WordHandler - Letter: I
21:38:48.066 [main] INFO  WordHandler - Letter: t
21:38:48.066 [main] INFO  SentenceHandler - Lexeme: has
21:38:48.066 [main] INFO  LexemeHandler - Word: has
21:38:48.067 [main] INFO  WordHandler - Letter: h
21:38:48.067 [main] INFO  WordHandler - Letter: a
21:38:48.067 [main] INFO  WordHandler - Letter: s
21:38:48.067 [main] INFO  SentenceHandler - Lexeme: survived
21:38:48.067 [main] INFO  LexemeHandler - Word: survived
21:38:48.068 [main] INFO  WordHandler - Letter: s
21:38:48.068 [main] INFO  WordHandler - Letter: u
21:38:48.068 [main] INFO  WordHandler - Letter: r
21:38:48.068 [main] INFO  WordHandler - Letter: v
21:38:48.069 [main] INFO  WordHandler - Letter: i
21:38:48.069 [main] INFO  WordHandler - Letter: v
21:38:48.069 [main] INFO  WordHandler - Letter: e
21:38:48.069 [main] INFO  WordHandler - Letter: d
21:38:48.069 [main] INFO  SentenceHandler - Lexeme: -
21:38:48.070 [main] INFO  LexemeHandler - Punctuation: -
21:38:48.070 [main] INFO  SentenceHandler - Lexeme: not
21:38:48.070 [main] INFO  LexemeHandler - Word: not
21:38:48.070 [main] INFO  WordHandler - Letter: n
21:38:48.070 [main] INFO  WordHandler - Letter: o
21:38:48.071 [main] INFO  WordHandler - Letter: t
21:38:48.071 [main] INFO  SentenceHandler - Lexeme: only
21:38:48.071 [main] INFO  LexemeHandler - Word: only
21:38:48.071 [main] INFO  WordHandler - Letter: o
21:38:48.071 [main] INFO  WordHandler - Letter: n
21:38:48.072 [main] INFO  WordHandler - Letter: l
21:38:48.072 [main] INFO  WordHandler - Letter: y
21:38:48.072 [main] INFO  SentenceHandler - Lexeme: (five)
21:38:48.072 [main] INFO  LexemeHandler - Word: (five
21:38:48.072 [main] INFO  WordHandler - Punct in word: (
21:38:48.073 [main] INFO  WordHandler - Letter: f
21:38:48.073 [main] INFO  WordHandler - Letter: i
21:38:48.073 [main] INFO  WordHandler - Letter: v
21:38:48.073 [main] INFO  WordHandler - Letter: e
21:38:48.073 [main] INFO  LexemeHandler - Punctuation: )
21:38:48.074 [main] INFO  SentenceHandler - Lexeme: centuries,
21:38:48.074 [main] INFO  LexemeHandler - Word: centuries
21:38:48.074 [main] INFO  WordHandler - Letter: c
21:38:48.074 [main] INFO  WordHandler - Letter: e
21:38:48.074 [main] INFO  WordHandler - Letter: n
21:38:48.075 [main] INFO  WordHandler - Letter: t
21:38:48.075 [main] INFO  WordHandler - Letter: u
21:38:48.075 [main] INFO  WordHandler - Letter: r
21:38:48.075 [main] INFO  WordHandler - Letter: i
21:38:48.075 [main] INFO  WordHandler - Letter: e
21:38:48.076 [main] INFO  WordHandler - Letter: s
21:38:48.076 [main] INFO  LexemeHandler - Punctuation: ,
21:38:48.076 [main] INFO  SentenceHandler - Lexeme: but
21:38:48.076 [main] INFO  LexemeHandler - Word: but
21:38:48.077 [main] INFO  WordHandler - Letter: b
21:38:48.077 [main] INFO  WordHandler - Letter: u
21:38:48.077 [main] INFO  WordHandler - Letter: t
21:38:48.078 [main] INFO  SentenceHandler - Lexeme: also
21:38:48.078 [main] INFO  LexemeHandler - Word: also
21:38:48.078 [main] INFO  WordHandler - Letter: a
21:38:48.078 [main] INFO  WordHandler - Letter: l
